"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LUZP23",5.25226484680283e-16,0.560992016040355,0.744,0.42,1.57567945404085e-12,"14","LUZP2"
"MT-CO23",6.23104956488334e-16,1.19602026913828,0.776,0.501,1.869314869465e-12,"14","MT-CO2"
"IDH26",1.27930813985975e-15,2.75506403860848,0.667,0.415,3.83792441957926e-12,"14","IDH2"
"CHD92",1.63717667916921e-15,0.814578792169694,0.705,0.444,4.91153003750764e-12,"14","CHD9"
"CRIP21",2.19661066338284e-15,4.64575604763773,0.385,0.191,6.58983199014852e-12,"14","CRIP2"
"MYBPC12",2.52356637638351e-15,3.19790427220753,0.058,0.306,7.57069912915052e-12,"14","MYBPC1"
"APP3",2.58882842268614e-15,3.38658872949463,0.641,0.413,7.76648526805843e-12,"14","APP"
"FN14",3.48128090991034e-15,2.71023042162898,0.462,0.26,1.0443842729731e-11,"14","FN1"
"FAM241A2",1.21854820928002e-14,6.43491128342772,0.551,0.296,3.65564462784007e-11,"14","FAM241A"
"CBR3-AS13",1.28147966135136e-14,1.63347368812021,0.679,0.423,3.84443898405408e-11,"14","CBR3-AS1"
"RAPGEF5",2.45483939795269e-14,9.4427222478423,0.5,0.284,7.36451819385808e-11,"14","RAPGEF5"
"DISC1FP1",2.86928430239852e-14,3.25796896157808,0.301,0.112,8.60785290719557e-11,"14","DISC1FP1"
"BBS42",5.51457115622767e-14,1.82153003566763,0.564,0.35,1.6543713468683e-10,"14","BBS4"
"FBXO92",6.18866966574106e-14,2.79659324290972,0.673,0.41,1.85660089972232e-10,"14","FBXO9"
"LLGL23",6.26977597781581e-14,2.63924741876999,0.699,0.446,1.88093279334474e-10,"14","LLGL2"
"TSC22D12",7.29470673122269e-14,1.19670056242735,0.66,0.429,2.18841201936681e-10,"14","TSC22D1"
"SH3PXD2A",7.38711901987055e-14,0.63683494002685,0.365,0.152,2.21613570596116e-10,"14","SH3PXD2A"
"SLC39A82",1.16274358628445e-13,3.40171214330742,0.635,0.364,3.48823075885334e-10,"14","SLC39A8"
"CD91",1.23045672289436e-13,2.59085418185163,0.724,0.466,3.69137016868307e-10,"14","CD9"
"SELENOM3",1.28146777413846e-13,2.72622330657534,0.699,0.444,3.84440332241538e-10,"14","SELENOM"
"NAPEPLD1",1.34092602186656e-13,8.53229485103688,0.577,0.293,4.02277806559969e-10,"14","NAPEPLD"
"SERINC51",1.65640773645466e-13,0.278812973269052,0.635,0.405,4.96922320936397e-10,"14","SERINC5"
"DELEC1",1.91241171112289e-13,4.05163122970086,0.321,0.163,5.73723513336866e-10,"14","DELEC1"
"NVL2",5.49490807070013e-13,0.92418852144578,0.705,0.438,1.64847242121004e-09,"14","NVL"
"ZNF7032",7.35352638090858e-13,5.27921935775482,0.385,0.185,2.20605791427257e-09,"14","ZNF703"
"ENSG000002239301",1.02414872410578e-12,2.47441143658719,0.404,0.177,3.07244617231733e-09,"14","ENSG00000223930"
"ID33",1.06385441430695e-12,3.08341903354767,0.596,0.314,3.19156324292084e-09,"14","ID3"
"SHOC22",1.16819630947692e-12,3.93059568025111,0.609,0.426,3.50458892843077e-09,"14","SHOC2"
"GALK22",1.26215980141208e-12,2.1419943740064,0.647,0.413,3.78647940423625e-09,"14","GALK2"
"INSIG22",1.59050978660198e-12,3.93466499620436,0.635,0.372,4.77152935980595e-09,"14","INSIG2"
"GCLC1",1.70477406584499e-12,4.48944980678719,0.558,0.31,5.11432219753498e-09,"14","GCLC"
"FADS22",2.99426478238501e-12,0.372684048937804,0.66,0.415,8.98279434715504e-09,"14","FADS2"
"TNFAIP82",3.01630158177598e-12,5.7483185203512,0.423,0.249,9.04890474532793e-09,"14","TNFAIP8"
"GRK33",3.91566842283394e-12,1.26390071372924,0.551,0.345,1.17470052685018e-08,"14","GRK3"
"RHOU3",6.42980616909828e-12,2.40333986450806,0.5,0.245,1.92894185072948e-08,"14","RHOU"
"SLIT1",8.29870330695975e-12,1.71504685469892,0.474,0.189,2.48961099208793e-08,"14","SLIT1"
"EFNB24",1.12185826303485e-11,1.29802294829841,0.468,0.263,3.36557478910454e-08,"14","EFNB2"
"FNBP1L2",1.38939789177663e-11,0.770265996224167,0.66,0.409,4.1681936753299e-08,"14","FNBP1L"
"CALM12",1.42045594519708e-11,1.91645734054533,0.66,0.443,4.26136783559123e-08,"14","CALM1"
"LINC027182",1.95108703719791e-11,5.87675568755378,0.455,0.325,5.85326111159373e-08,"14","LINC02718"
"ABHD2",3.32159962423868e-11,7.03382148211942,0.628,0.41,9.96479887271603e-08,"14","ABHD2"
"RNF431",4.45533309813846e-11,0.684576963824261,0.391,0.222,1.33659992944154e-07,"14","RNF43"
"FAM111A4",5.32198361187847e-11,4.25094209632068,0.59,0.398,1.59659508356354e-07,"14","FAM111A"
"REPS23",5.55014873633941e-11,5.53395932844101,0.346,0.258,1.66504462090182e-07,"14","REPS2"
"SELENBP12",6.90874870645121e-11,2.56876158832149,0.641,0.436,2.07262461193536e-07,"14","SELENBP1"
"OCLN",7.73351835989002e-11,1.21872691392267,0.558,0.37,2.32005550796701e-07,"14","OCLN"
"NCKAP5",1.33295125832596e-10,1.09206536661999,0.436,0.193,3.99885377497789e-07,"14","NCKAP5"
"IDH11",2.31901179666383e-10,0.836362429278675,0.641,0.408,6.95703538999149e-07,"14","IDH1"
"DOCK103",3.27754928074209e-10,5.72532499143023,0.449,0.34,9.83264784222626e-07,"14","DOCK10"
"AKR1C23",4.51651039277579e-10,3.76659784638721,0.058,0.271,1.35495311783274e-06,"14","AKR1C2"
"FLJ200212",4.60759326891549e-10,1.61686923577456,0.647,0.419,1.38227798067465e-06,"14","FLJ20021"
"KLHL425",5.20670539024524e-10,3.67572159977963,0.609,0.413,1.56201161707357e-06,"14","KLHL42"
"HIBADH3",6.29958883546658e-10,2.13044588354007,0.603,0.43,1.88987665063998e-06,"14","HIBADH"
